hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
0.0010282776349614395,0.004627249357326478,0.008740359897172237,0.011825192802056555,0.02519280205655527
0.004113110539845758,0.996401028277635,0.5326478149100257,0.9809768637532134,0.6154241645244216
0.27352185089974296,0.2,0.14652956298200515,0.106426735218509,0.9830334190231362
0.9974293059125964,0.9861182519280206,0.9300771208226221,0.9316195372750643,0.9845758354755784
0.9917737789203085,0.1814910025706941,0.8293059125964011,0.9408740359897172,0.1712082262210797
0.7177377892030848,0.03958868894601542,0.29203084832904885,0.010282776349614395,0.01696658097686375
0.5403598971722365,0.7403598971722365,0.0519280205655527,0.9197943444730077,0.9383033419023136
0.17917737789203084,0.8987146529562982,0.6858611825192802,0.765038560411311,0.6699228791773779
0.9316195372750643,0.7670951156812339,0.9367609254498714,0.6241645244215939,0.40102827763496146
0.12802056555269922,0.16246786632390744,0.4467866323907455,0.31053984575835475,0.36658097686375324
0.36709511568123393,0.23753213367609255,0.23136246786632392,0.11568123393316196,0.4020565552699229
0.0544987146529563,0.17429305912596402,0.6611825192802057,0.8138817480719794,0.9095115681233933
0.014395886889460155,0.9069408740359897,0.31053984575835475,0.5969151670951157,0.5239074550128535
0.9948586118251928,0.7295629820051414,0.6390745501285348,0.9866323907455012,0.9629820051413882
0.04524421593830334,0.5367609254498714,0.7516709511568124,0.8575835475578406,0.46426735218508997
0.4282776349614396,0.017480719794344474,0.370694087403599,0.02313624678663239,0.004113110539845758
0.6341902313624679,0.032904884318766064,0.59280205655527,0.06272493573264781,0.0781491002570694
0.055526992287917736,0.39845758354755784,0.02622107969151671,0.38354755784061695,0.5850899742930591
0.7624678663239075,0.9753213367609255,0.2601542416452442,0.913624678663239,0.9326478149100257
0.9753213367609255,0.9902313624678664,0.8082262210796916,0.9974293059125964,0.9974293059125964
0.8704370179948586,0.6395886889460154,0.6102827763496144,0.8611825192802056,0.6159383033419024
0.9820051413881749,0.1794344473007712,0.9424164524421594,0.29203084832904885,0.012339331619537276
0.14344473007712083,0.1768637532133676,0.7295629820051414,0.47917737789203085,0.14190231362467867
0.957840616966581,0.9208226221079692,0.8997429305912596,0.4005141388174807,0.7480719794344473
0.8784061696658098,0.6632390745501285,0.8740359897172236,0.4668380462724936,0.5172236503856041
0.489974293059126,0.6082262210796915,0.6298200514138818,0.6802056555269923,0.6056555269922879
0.8560411311053985,0.2308483290488432,0.9316195372750643,0.25398457583547557,0.25089974293059125
0.02930591259640103,0.3017994858611825,0.706426735218509,0.5814910025706941,0.4390745501285347
0.8925449871465295,0.9383033419023136,0.519280205655527,0.7182519280205656,0.8683804627249357
0.87146529562982,0.6611825192802057,0.8863753213367609,0.9532133676092545,0.35681233933161954
0.7213367609254498,0.0910025706940874,0.7753213367609254,0.16503856041131104,0.17429305912596402
0.061182519280205655,0.8827763496143959,0.42467866323907455,0.46940874035989716,0.2853470437017995
0.6015424164524421,0.15372750642673522,0.4987146529562982,0.23444730077120823,0.04987146529562982
0.5023136246786633,0.4596401028277635,0.29048843187660667,0.7748071979434448,0.6323907455012854
0.9943444730077121,0.16966580976863754,0.974293059125964,0.7033419023136247,0.9917737789203085
0.9568123393316196,0.8776349614395886,0.4077120822622108,0.038046272493573265,0.05089974293059126
0.5141388174807198,0.02570694087403599,0.11053984575835475,0.0596401028277635,0.4488431876606684
0.11850899742930592,0.4272493573264782,0.16041131105398457,0.06683804627249357,0.25038560411311056
0.7647814910025706,0.9053984575835475,0.5305912596401028,0.9475578406169666,0.9840616966580977
0.5696658097686376,0.7419023136246786,0.954241645244216,0.3131105398457584,0.037532133676092545
0.26940874035989715,0.8179948586118252,0.5958868894601542,0.7347043701799486,0.6555269922879178
0.007712082262210797,0.4303341902313625,0.6616966580976864,0.12904884318766066,0.03547557840616967
0.996401028277635,0.03650385604113111,0.7131105398457583,0.024678663239074552,0.7845758354755784
0.0596401028277635,0.5084832904884319,0.1845758354755784,0.02879177377892031,0.0596401028277635
0.09254498714652956,0.05089974293059126,0.06529562982005141,0.3043701799485861,0.07352185089974293
0.6411311053984576,0.39485861182519283,0.6570694087403599,0.8154241645244216,0.9876606683804627
0.0035989717223650387,0.002056555269922879,0.983547557840617,0.010796915167095116,0.002056555269922879
0.0005141388174807198,0.007712082262210797,0.2961439588688946,0.119280205655527,0.0035989717223650387
0.3478149100257069,0.3125964010282776,0.4498714652956298,0.8030848329048843,0.9562982005141388
0.7048843187660668,0.1640102827763496,0.7491002570694087,0.9758354755784062,0.9928020565552699
0.5300771208226221,0.003084832904884319,0.15372750642673522,0.11156812339331619,0.07403598971722365
0.855012853470437,0.8575835475578406,0.5059125964010283,0.9701799485861182,0.9804627249357326
0.9526992287917738,0.027763496143958868,0.21491002570694087,0.6858611825192802,0.8724935732647815
0.461439588688946,0.13316195372750642,0.770694087403599,0.0467866323907455,0.5151670951156813
0.7377892030848329,0.9989717223650385,0.9989717223650385,0.9969151670951156,0.9994858611825193
0.05912596401028278,0.2832904884318766,0.884318766066838,0.5218508997429306,0.9059125964010283
0.9141388174807198,0.9943444730077121,0.910025706940874,0.9501285347043702,0.13419023136246785
0.6205655526992288,0.14087403598971723,0.5686375321336761,0.30025706940874036,0.017480719794344474
0.6889460154241646,0.3922879177377892,0.31722365038560413,0.803598971722365,0.8277634961439588
0.838560411311054,0.23393316195372751,0.5624678663239074,0.8318766066838046,0.9948586118251928
0.8966580976863753,0.4683804627249357,0.8704370179948586,0.8822622107969151,0.40925449871465297
0.9120822622107969,0.6447300771208226,0.8236503856041131,0.19588688946015423,0.5830334190231362
0.6282776349614396,0.14755784061696658,0.5017994858611825,0.0781491002570694,0.0390745501285347
0.07455012853470437,0.07403598971722365,0.390745501285347,0.28174807197943447,0.45141388174807195
0.0961439588688946,0.4735218508997429,0.5922879177377892,0.14755784061696658,0.9789203084832905
0.9660668380462725,0.8354755784061697,0.8025706940874036,0.9095115681233933,0.5285347043701799
0.515681233933162,0.10951156812339331,0.8046272493573264,0.28226221079691516,0.05244215938303342
0.5439588688946015,0.067866323907455,0.13830334190231364,0.10539845758354756,0.7604113110539846
0.8699228791773779,0.013881748071979434,0.5388174807197943,0.22262210796915166,0.02673521850899743
0.39640102827763496,0.744987146529563,0.6380462724935733,0.44832904884318764,0.07763496143958869
0.09305912596401028,0.04061696658097686,0.6591259640102828,0.45347043701799483,0.7280205655526992
0.22673521850899742,0.990745501285347,0.24884318766066837,0.7110539845758355,0.9856041131105399
0.8827763496143959,0.860668380462725,0.40102827763496146,0.48740359897172236,0.38817480719794345
0.3408740359897172,0.09460154241645244,0.46066838046272496,0.8858611825192803,0.9850899742930591
0.8735218508997429,0.9922879177377892,0.8781491002570694,0.9393316195372751,0.9424164524421594
0.67146529562982,0.7804627249357327,0.8452442159383033,0.4041131105398458,0.13881748071979436
0.4475578406169666,0.3146529562982005,0.6565552699228792,0.6426735218508998,0.8637532133676092
0.10796915167095116,0.667866323907455,0.522879177377892,0.5912596401028277,0.289974293059126
0.6231362467866324,0.6498714652956298,0.6642673521850899,0.6642673521850899,0.8601542416452442
0.06940874035989718,0.8390745501285347,0.7172236503856041,0.7876606683804627,0.4251928020565553
0.40951156812339334,0.5275064267352185,0.18251928020565553,0.07197943444730077,0.144987146529563
0.5506426735218509,0.4210796915167095,0.061182519280205655,0.6,0.5691516709511568
0.2699228791773779,0.9110539845758355,0.3974293059125964,0.6246786632390745,0.9537275064267352
0.43958868894601544,0.061696658097686374,0.7434447300771209,0.2699228791773779,0.2616966580976864
0.919280205655527,0.019023136246786632,0.6704370179948587,0.042159383033419026,0.02416452442159383
0.43753213367609256,0.3943444730077121,0.29254498714652954,0.45295629820051414,0.6467866323907455
0.5532133676092545,0.43290488431876606,0.8709511568123394,0.5311053984575835,0.10488431876606684
0.032904884318766064,0.2966580976863753,0.6627249357326478,0.15989717223650385,0.49562982005141387
0.05038560411311054,0.18920308483290488,0.3347043701799486,0.4226221079691517,0.13573264781491
0.5413881748071979,0.8817480719794345,0.6832904884318766,0.8473007712082262,0.9892030848329049
0.6735218508997429,0.11722365038560412,0.7727506426735219,0.693573264781491,0.3043701799485861
0.6010282776349615,0.36195372750642674,0.2766066838046273,0.1038560411311054,0.7372750642673522
