date,hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
2019-07-19,0.4535 ,-0.892508409,0.048734842,0.281399213,-0.527689409
2019-07-22,-0.3008 ,0.188707497,0.287976378,-0.174549055,0.208364031
2019-07-23,0.0944 ,0.435308457,0.17041903,0.219901741,-0.102555697
2019-07-24,0.3415 ,0.247864733,-0.219193097,-0.442796144,0.173556012
2019-07-25,0.3537 ,-0.349600987,0.343023455,-0.041562133,-0.615391026
2019-07-26,0.0845 ,-0.130166229,-0.362829718,-0.069610189,0.069474954
2019-07-29,-0.0484 ,-0.25618708,0.17545072,0.348796454,0.279437773
2019-07-30,0.1805 ,-0.871011714,0.110280904,-0.597688244,-0.231383979
2019-07-31,-0.3941 ,0.244133637,-0.084714294,-0.34807378,-0.475409457
2019-08-01,-0.3626 ,0.341088659,0.012277826,0.33446048,0.133654358
2019-08-02,-0.6445 ,-1.060061378,0.012194403,-0.726808333,0.232306121
2019-08-05,-0.8396 ,-0.568181915,-0.392897442,-1.013892888,-1.103481265
2019-08-06,-0.4676 ,-0.296963686,-0.727569898,0.068382099,0.88722551
2019-08-07,-0.1783 ,-0.195973305,0.809099796,0.128618008,0.262205701
2019-08-08,0.5702 ,0.634555619,0.353042551,0.2430412,0.559563524
2019-08-12,0.3514 ,-1.2200146,-0.006230727,-0.128212915,-0.927521655
2019-08-13,-0.3933 ,0.586685375,-0.071837717,-0.141062802,0.585904698
2019-08-14,0.1968 ,-1.111823996,-0.020049413,-0.924551003,-1.297901314
2019-08-16,0.3306 ,0.650890838,-0.785200427,-0.124697204,-0.196338706
2019-08-19,0.9327 ,0.831615494,0.191629764,0.410618002,-0.146938208
2019-08-20,-0.0385 ,-0.485012601,0.409371893,-0.084335408,-0.107723998
2019-08-21,-0.0685 ,0.759994021,-0.381624815,0.284879252,0.857959515
2019-08-22,0.1347 ,-0.062709108,0.064431367,-0.359247115,-0.513968052
2019-08-23,0.3120 ,-0.721820432,-0.418560231,-0.15424202,-1.029895892
2019-08-26,-0.6291 ,0.428422784,-0.571555033,-0.148189515,-0.553966147
2019-08-27,0.5847 ,0.655537836,0.122821727,0.067627408,0.379618706
2019-08-28,-0.1638 ,-0.001220684,0.464348558,0.289021086,0.407632062
2019-08-29,-0.1417 ,0.834950488,-0.188821848,0.124572842,1.018874628
2019-08-30,0.1076 ,-0.153036333,0.72107021,0.671704203,0.262818484
2019-09-02,0.5534 ,0.262111323,0.17245123,-0.374440826,-0.219071687
2019-09-03,0.0597 ,-0.106923681,0.614580933,-0.034187722,-0.409744167
2019-09-04,0.3635 ,0.68174421,0.214398489,0.130784442,0.657268636
2019-09-05,0.4372 ,0.431923743,0.387031865,0.447889766,0.444925213
2019-09-06,0.2558 ,-0.015313237,0.436989256,0.089723179,0.293129906
2019-09-09,0.2680 ,0.083820318,-0.062213857,-0.053171827,0.103312382
2019-09-10,-0.1498 ,-0.239077375,-0.234586149,-0.146719978,-0.062798428
2019-09-11,-0.3212 ,0.044778586,-0.856908553,0.706822932,0.174200031
2019-09-12,0.4647 ,0.378450671,-0.078861591,0.413572565,0.386744713
2019-09-16,-0.1606 ,-0.224638246,-0.292943161,0.812241412,-0.288276413
2019-09-17,-0.7359 ,-0.332009236,0.145220076,-0.725678318,0.390497492
2019-09-18,0.2100 ,0.289407435,-0.373959564,-0.518184893,-0.035271189
2019-09-19,0.1585 ,0.355785784,0.105474358,-0.0746708,-0.080163292
2019-09-20,0.1245 ,-0.009794606,0.113801778,0.218485504,0.198604677
2019-09-23,-0.4993 ,-0.44071919,0.175857456,-0.607930845,-0.074469972
2019-09-25,-0.2202 ,-0.221998336,-0.04751614,-0.586383097,-0.065144558
2019-09-26,-0.3361 ,0.316666984,-0.15489783,0.311129197,0.347113878
2019-09-27,0.1299 ,0.137761089,0.055060619,-0.049019123,-0.099810746
2019-09-30,-0.4319 ,0.177753009,0.355705608,-0.303171413,-0.137564094
2019-10-08,0.2628 ,-1.401351943,0.35837494,-0.232156116,-2.021541417
2019-10-09,0.0629 ,0.258740505,-0.297838,-0.154144333,0.547058516
2019-10-10,0.3534 ,0.446938704,-0.215400862,0.581363667,0.24310522
2019-10-11,0.4138 ,0.808756217,0.147270989,0.365353783,0.851003374
2019-10-14,0.4584 ,-0.132260739,0.407145835,-0.249238364,0.196000252
2019-10-15,-0.1871 ,0.522371469,0.073746853,0.277982658,0.078201306
2019-10-16,-0.1499 ,0.121678543,0.520988128,0.401937318,0.386164638
2019-10-17,0.0280 ,-0.101624181,-0.143127309,-0.075239442,-0.16800257
2019-10-18,-0.6223 ,-0.104741945,-0.292307815,-0.21041413,-0.118802051
2019-10-21,0.1284 ,0.303270891,-0.017152084,0.30134528,0.53306389
2019-10-22,0.1680 ,0.017172711,0.108372048,-0.13484551,0.55307495
2019-10-23,-0.2773 ,-0.263474624,-0.936540407,-0.284612202,0.065664096
2019-10-24,-0.0046 ,0.341313739,-0.08920086,-0.072740986,-0.225697063
2019-10-25,0.2921 ,0.156970567,-0.172270435,-0.264196252,0.153019373
2019-10-29,0.1495 ,0.137605833,0.02056533,0.450295169,0.077793928
2019-10-30,-0.2115 ,-0.066418291,-0.016942549,0.121357339,0.342379715
2019-10-31,-0.0500 ,0.091361182,-0.006923799,0.427353292,-0.478437515
2019-11-01,0.7273 ,0.457921888,-0.105321377,0.172757646,0.393460575
2019-11-04,0.2818 ,0.708304752,0.160560266,0.213257258,0.23366595
2019-11-05,0.2687 ,0.099352422,0.160489617,0.241948641,-0.024085057
2019-11-06,-0.1950 ,0.015610726,-0.33118032,0.306669724,-0.143565089
2019-11-07,0.0761 ,0.240530805,0.144588725,-0.12793215,0.486367706
2019-11-08,-0.2057 ,0.058093651,0.328326945,-0.659241877,-0.780433067
2019-11-11,-0.7723 ,-0.082306886,0.17059565,-0.340446691,0.296958952
2019-11-12,0.0079 ,0.536939141,0.025923163,0.172963378,-0.652641448
2019-11-13,-0.0413 ,-0.373623032,-0.362736729,-0.046820436,-0.282098148
2019-11-14,0.0654 ,-0.179182173,0.255046345,-0.079001044,0.203007777
2019-11-18,0.0230 ,-0.032138215,-0.104083548,0.178098683,-0.117388027
2019-11-19,0.4325 ,-0.250164732,0.076142325,0.690920739,-0.165857762
2019-11-21,-0.6367 ,-0.092116067,0.262043524,-0.634642867,0.66462155
2019-11-22,-0.4445 ,-0.037289568,-0.04702908,0.168175479,0.480344547
2019-11-25,0.3172 ,0.362223984,0.029230638,-0.008983754,-0.107355396
2019-11-26,0.1502 ,0.183202956,0.358797957,-0.534783617,-0.550033982
2019-11-27,-0.1793 ,-0.126912622,0.298878843,0.093246202,0.262214852
2019-11-28,-0.1495 ,-0.264524024,0.336418904,-0.365997008,0.234176102
2019-11-29,-0.3798 ,-0.154867861,0.421458803,-0.27644402,-0.022789475
2019-12-02,0.0837 ,-1.002470595,-0.056066348,-0.42178072,0.277803204
2019-12-03,0.1698 ,0.015149882,-0.284168711,-0.261182678,0.011237879
2019-12-04,-0.0143 ,0.564914007,-0.071227118,0.426301621,0.532794347
2019-12-05,0.3320 ,-0.122348256,0.185256703,-0.19231143,0.126339187
2019-12-06,0.2571 ,0.401473903,0.070962694,0.416241086,0.197213902
2019-12-09,-0.0773 ,-0.425114741,-0.179886996,-0.029935767,-0.05808245
2019-12-10,0.0549 ,0.312755598,0.210764452,0.116712137,-0.119608301
2019-12-11,0.0264 ,0.061599056,0.029778638,0.272269915,0.11437973
2019-12-12,-0.1307 ,0.439107162,0.061570064,0.044857558,0.481025565
2019-12-13,0.8532 ,-0.114559423,-0.255728991,0.71375569,0.141098501
2019-12-17,0.7979 ,0.557560681,0.074304605,0.439387162,0.019595088
2019-12-18,-0.0970 ,-0.003492026,0.26422559,0.333290059,0.650310458
2019-12-19,-0.0607 ,0.146918467,0.575192034,-0.157326707,0.30913289
2019-12-20,-0.1069 ,0.536496712,0.006354726,-0.111593634,-0.003836465
2019-12-23,-0.5456 ,-0.19079154,0.244930493,-0.241497721,0.279100111
2019-12-27,0.5972 ,-0.256662335,0.205953677,0.25623868,0.250672286
2019-12-30,0.6388 ,-0.461699812,-0.171290841,0.205849786,-0.332444193
2020-01-03,0.6687 ,0.360583899,0.137663586,0.080036175,0.76728992
2020-01-06,-0.1644 ,-0.222384761,0.127854453,-0.464224743,-0.306856236
2020-01-07,0.3241 ,0.260900619,0.009486171,0.143319883,-0.080328
2020-01-08,-0.5030 ,0.198428925,-0.273012503,-0.047008579,-0.154732825
2020-01-09,0.5462 ,0.335247853,-0.072587217,-0.146964551,-0.112193765
2020-01-10,-0.0124 ,0.008498188,0.052741212,0.269913742,-0.166508458
2020-01-13,0.4236 ,-0.226238274,-0.030199861,0.06634211,0.679675567
2020-01-14,-0.1459 ,0.057427918,0.305391512,0.296505062,0.113535848
2020-01-15,-0.2407 ,-0.299322636,0.192118841,0.072208559,-0.452044021
2020-01-16,-0.1848 ,0.321459864,0.226991871,0.114914544,0.10800055
2020-01-17,0.0608 ,0.362493154,0.230081092,0.581274669,0.655229092
2020-01-20,0.3226 ,-0.250094166,-0.196461599,-0.111628351,0.14028676
2020-01-21,-0.7485 ,-0.285314723,0.214602163,-0.649832307,-0.675917227
